,index,features,rank
736,32778,FC_mean_32778,736
737,43890,FC_mean_43890,737
738,29190,FC_mean_29190,737
739,37178,FC_mean_37178,739
740,16917,FC_mean_16917,740
741,27464,FC_mean_27464,740
742,16402,FC_mean_16402,742
743,11942,FC_mean_11942,743
744,23249,FC_mean_23249,744
745,37756,FC_mean_37756,745
746,251,FC_mean_251,746
747,38442,FC_mean_38442,747
748,32468,FC_mean_32468,748
749,33851,FC_mean_33851,749
750,23268,FC_mean_23268,750
751,34578,FC_mean_34578,751
752,38996,FC_mean_38996,751
753,27361,FC_mean_27361,753
754,13270,FC_mean_13270,754
755,28363,FC_mean_28363,755
756,34487,FC_mean_34487,756
757,4797,FC_mean_4797,757
758,34647,FC_mean_34647,757
759,44749,FC_mean_44749,759
760,11876,FC_mean_11876,760
761,42516,FC_mean_42516,761
762,14176,FC_mean_14176,762
763,21514,FC_mean_21514,763
764,13271,FC_mean_13271,763
765,38692,FC_mean_38692,765
766,22287,FC_mean_22287,766
767,12666,FC_mean_12666,767
768,39531,FC_mean_39531,767
769,25752,FC_mean_25752,769
770,1028,FC_mean_1028,770
771,32448,FC_mean_32448,771
772,35146,FC_mean_35146,772
773,41525,FC_mean_41525,773
774,4600,FC_mean_4600,774
775,38083,FC_mean_38083,775
776,32451,FC_mean_32451,776
777,29009,FC_mean_29009,777
778,42020,FC_mean_42020,778
779,42697,FC_mean_42697,779
780,37073,FC_mean_37073,780
781,33036,FC_mean_33036,781
782,24428,FC_mean_24428,782
783,25463,FC_mean_25463,782
784,30848,FC_mean_30848,784
785,34720,FC_mean_34720,785
786,38705,FC_mean_38705,786
787,17229,FC_mean_17229,787
788,21411,FC_mean_21411,788
789,11030,FC_mean_11030,789
790,3433,FC_mean_3433,790
791,35424,FC_mean_35424,791
792,18660,FC_mean_18660,792
793,5012,FC_mean_5012,792
794,18603,FC_mean_18603,794
795,8071,FC_mean_8071,795
796,39671,FC_mean_39671,796
797,40823,FC_mean_40823,797
798,17562,FC_mean_17562,798
799,38870,FC_mean_38870,799
800,11506,FC_mean_11506,800
801,18062,FC_mean_18062,801
802,41014,FC_mean_41014,802
803,29836,FC_mean_29836,803
804,43909,FC_mean_43909,804
805,788,FC_mean_788,805
806,28156,FC_mean_28156,806
807,20213,FC_mean_20213,807
808,33786,FC_mean_33786,808
809,10059,FC_mean_10059,809
810,38736,FC_mean_38736,810
811,23883,FC_mean_23883,811
812,15341,FC_mean_15341,812
813,8359,FC_mean_8359,813
814,21398,FC_mean_21398,814
815,18946,FC_mean_18946,815
816,32765,FC_mean_32765,816
817,25266,FC_mean_25266,817
818,36795,FC_mean_36795,818
819,38297,FC_mean_38297,819
820,1470,FC_mean_1470,819
821,20823,FC_mean_20823,821
822,16877,FC_mean_16877,822
823,202,FC_mean_202,823
824,37849,FC_mean_37849,824
825,21968,FC_mean_21968,825
826,6419,FC_mean_6419,826
827,29994,FC_mean_29994,827
828,41439,FC_mean_41439,828
829,19640,FC_mean_19640,829
830,7312,FC_mean_7312,830
831,42424,FC_mean_42424,831
832,33045,FC_mean_33045,832
833,2247,FC_mean_2247,832
834,98,FC_mean_98,834
835,1296,FC_mean_1296,834
836,32321,FC_mean_32321,836
837,38137,FC_mean_38137,837
838,4854,FC_mean_4854,838
839,44410,FC_mean_44410,839
840,24142,FC_mean_24142,840
841,2806,FC_mean_2806,841
842,23836,FC_mean_23836,842
843,28882,FC_mean_28882,843
844,6403,FC_mean_6403,844
845,8520,FC_mean_8520,845
846,23859,FC_mean_23859,846
847,22872,FC_mean_22872,847
848,42505,FC_mean_42505,848
849,2236,FC_mean_2236,849
850,37542,FC_mean_37542,850
851,21189,FC_mean_21189,851
852,6130,FC_mean_6130,852
853,2514,FC_mean_2514,853
854,6348,FC_mean_6348,853
855,30423,FC_mean_30423,855
856,44207,FC_mean_44207,856
857,34392,FC_mean_34392,857
858,43482,FC_mean_43482,858
859,37110,FC_mean_37110,859
860,3992,FC_mean_3992,860
861,33332,FC_mean_33332,861
862,26456,FC_mean_26456,862
863,34856,FC_mean_34856,863
864,4730,FC_mean_4730,864
865,42008,FC_mean_42008,865
866,3592,FC_mean_3592,866
867,2900,FC_mean_2900,867
868,30029,FC_mean_30029,868
869,14534,FC_mean_14534,869
870,37141,FC_mean_37141,870
871,30470,FC_mean_30470,871
872,2610,FC_mean_2610,871
